Partie 1;49;17;9;33;25;41;1
Partie 2;10;1;19;28;30;39;48
Partie 3;1;11;21;24;34;37;47
Partie 4;16;42;27;1;31;12;46
Partie 5;40;13;18;23;1;35;45
Partie 6;32;26;1;20;14;38;44
Partie 7;6;2;3;4;5;1;7
Partie 8;56;24;16;40;32;48;8
Partie 9;17;8;26;35;37;46;55
Partie 10;8;18;28;31;41;44;54
Partie 11;23;49;34;8;38;19;53
Partie 12;47;20;25;30;8;42;52
Partie 13;39;33;8;27;21;45;51
Partie 14;13;9;10;11;12;8;14
Partie 15;7;31;23;47;39;55;15
Partie 16;24;15;33;42;44;53;6
Partie 17;15;25;35;38;48;51;5
Partie 18;30;56;41;15;45;26;4
Partie 19;54;27;32;37;15;49;3
Partie 20;46;40;15;34;28;52;2
Partie 21;20;16;17;18;19;15;21
Partie 22;14;38;30;54;46;6;22
Partie 23;31;22;40;49;51;4;13
Partie 24;22;32;42;45;55;2;12
Partie 25;37;7;48;22;52;33;11
Partie 26;5;34;39;44;22;56;10
Partie 27;53;47;22;41;35;3;9
Partie 28;27;23;24;25;26;22;28
Partie 29;21;45;37;5;53;13;29
Partie 30;38;29;47;56;2;11;20
Partie 31;29;39;49;52;6;9;19
Partie 32;44;14;55;29;3;40;18
Partie 33;12;41;46;51;29;7;17
Partie 34;4;54;29;48;42;10;16
Partie 35;34;30;31;32;33;29;35
Partie 36;28;52;44;12;4;20;36
Partie 37;45;36;54;7;9;18;27
Partie 38;36;46;56;3;13;16;26
Partie 39;51;21;6;36;10;47;25
Partie 40;19;48;53;2;36;14;24
Partie 41;11;5;36;55;49;17;23
Partie 42;41;37;38;39;40;36;42
Partie 43;35;3;51;19;11;27;43
Partie 44;52;43;5;14;16;25;34
Partie 45;43;53;7;10;20;23;33
Partie 46;2;28;13;43;17;54;32
Partie 47;26;55;4;9;43;21;31
Partie 48;18;12;43;6;56;24;30
Partie 49;48;44;45;46;47;43;49
Partie 50;42;10;2;26;18;34;50
Partie 51;3;50;12;21;23;32;41
Partie 52;50;4;14;17;27;30;40
Partie 53;9;35;20;50;24;5;39
Partie 54;33;6;11;16;50;28;38
Partie 55;25;19;50;13;7;31;37
Partie 56;55;51;52;53;54;50;56
